№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
990,tanácsol,tanácsolni,Mindig türelmet tanácsol nekünk.,советует,Он всегда советует нам терпение.,0990_tanacsol_m.mp3
991,elüt,elütni,Tegnap majdnem elütöttem egy kutyát.,сбить (машиной),Вчера я чуть не сбил собаку.,0991_elut_m.mp3
992,ijeszt,ijeszteni,Te néha hangosan ijeszted a macskát.,пугать / напугать,Ты иногда громко пугаешь кошку.,0992_ijeszt_m.mp3
993,elkészül,elkészülni,A vacsora hamarosan elkészül.,"быть готовым, завершаться",Ужин скоро будет готов.,0993_elkeszul_m.mp3
994,épül,épülni,A ház most épül a városban.,"строиться, возводиться",Дом сейчас строится в городе.,0994_epul_m.mp3
995,borul,borulni,Ő ijedten a földre borult.,опрокидываться; пасмурнеть,Он испуганно повалился на землю.,0995_borul_m.mp3
996,elrendez,elrendezni,Holnap elrendezem a papírjaimat.,"уладить, привести в порядок, упорядочить",Завтра я приведу в порядок свои бумаги.,0996_elrendez_m.mp3
997,teker,tekerni,Minden reggel gyorsan tekerem a pedált.,"крутить, наматывать; крутить педали",Каждое утро я быстро кручу педаль.,0997_teker_m.mp3
998,megnősül,megnősülni,Jövőre végre megnősülök.,жениться (о мужчине),В следующем году я наконец женюсь.,0998_megnosul_m.mp3
999,kinyílik,kinyílni,Tavasszal kinyílnak a virágok a kertben.,"открываться, распускаться",Весной цветы в саду распускаются.,0999_kinyilik_m.mp3
1000,megvitat,megvitatni,Holnap megvitatjuk a tervet a munkahelyen.,обсудить (что-л.),Завтра мы обсудим план на работе.,1000_megvitat_m.mp3
